quadrant,model,spec_mean,spec_std
1_HighData_Clean,CNN_Huge,5.728675921328125,0.6233324724232471
1_HighData_Clean,CNN_Tiny,4.138330078046875,0.9438004820272993
1_HighData_Clean,QCNN,3.524946711640625,1.015997628387037
1_HighData_Clean,QCNN_Hyb,4.67708421453125,0.9044154011909779
2_HighData_Adv,CNN_Huge,2.1377954264062504,0.14177378327759244
2_HighData_Adv,CNN_Tiny,2.3558376710859377,0.3442373988433293
2_HighData_Adv,QCNN,1.914665076875,0.3458065320094609
2_HighData_Adv,QCNN_Hyb,1.9016459192500001,0.1681450090091168
3_FewShot_Clean,CNN_Huge,3.4777234518304687,2.1175231635781806
3_FewShot_Clean,CNN_Tiny,0.18930811218203125,0.07562350153901713
3_FewShot_Clean,QCNN,0.7526885189101563,0.737237590410147
3_FewShot_Clean,QCNN_Hyb,0.8219040560640625,0.4990444286146791
4_FewShot_Adv,CNN_Huge,1.8707564280445315,0.6950282828587845
4_FewShot_Adv,CNN_Tiny,0.18295471931093749,0.09710140865113767
4_FewShot_Adv,QCNN,0.3331647223632812,0.3229978713296305
4_FewShot_Adv,QCNN_Hyb,0.767553774675,0.3850436090659146
